symbol: CNE LN Equity, event:TRADE, server_time:1664451402925565, received_time:1664451403018208, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451403046638, received_time:1664451403048325, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451403048029, received_time:1664451403052490, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451403048146, received_time:1664451403056308, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451403048193, received_time:1664451403060267, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451403048299, received_time:1664451403062611, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451403110169, received_time:1664451403110642, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451403319592, received_time:1664451403322516, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451403319730, received_time:1664451403329302, price: 254.0, vol: 1705, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451403320447, received_time:1664451403335329, price: 254.0, vol: 1706, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451404993071, received_time:1664451405009693, price: 254.0, vol: 1707, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451404993202, received_time:1664451405013363, price: 254.0, vol: 1707, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451404993218, received_time:1664451405017169, price: 254.0, vol: 1707, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451404993236, received_time:1664451405020370, price: 254.0, vol: 1708, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:BID_CHANGE, server_time:1664451404993241, received_time:1664451405022765, price: 254.0, vol: 1708, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451404993256, received_time:1664451405025300, price: 254.0, vol: 1708, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451404993274, received_time:1664451405028227, price: 254.0, vol: 1709, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:TRADE, server_time:1664451405087351, received_time:1664451405100354, price: 254.0, vol: 1710, bid:253.8, ask: 254.0, valid: True, outliner: False
symbol: CNE LN Equity, event:ASK_CHANGE, server_time:1664451405087400, received_time:1664451405114576, price: 254.0, vol: 1710, bid:253.8, ask: 254.0, valid: True, outliner: False
